,Rank,Name,Revenue($m),Profit($m),Assets($m),Market_Value($m),Employees,URL
0,1,Walmart,523964,14881,236495,321803.3,2200000,http://www.walmart.com
1,2,Amazon.com,280522,11588,225248,970680.1,798000,http://www.amazon.com
2,3,Exxon Mobil,264938,14340,362597,160696.3,74900,http://www.exxonmobil.com
3,4,Apple,260174,55256,338516,1112640.8,137000,http://www.apple.com
4,5,CVS Health,256776,6634,222449,77375.8,290000,http://www.cvshealth.com
5,6,Berkshire Hathaway,254616,81417,817729,442897.1,391500,http://www.berkshirehathaway.com
6,7,UnitedHealth Group,242155,13839,173889,236555.2,325000,http://www.unitedhealthgroup.com
7,8,McKesson,214319,34,59672,21845,70000,http://www.mckesson.com
8,9,AT&T,181193,13903,551669,209387.5,247800,http://www.att.com
9,10,AmerisourceBergen,179589.1,855.4,39172,18221.4,21500,http://www.amerisourcebergen.com
10,11,Alphabet,161857,34343,275909,798905.3,118899,http://www.google.com
11,12,Ford Motor,155900,47,258537,19150.6,190000,http://www.ford.com
12,13,Cigna,153566,5104,155774,65896.7,73700,http://www.cigna.com
13,14,Costco Wholesale,152703,3659,45400,125907.7,201500,http://www.costco.com
14,15,Chevron,146516,2924,237428,136175.9,48200,http://www.chevron.com
15,16,Cardinal Health,145534,1363,40963,13988.1,49500,http://www.cardinal.com
16,17,JPMorgan Chase,142422,36431,2687379,276750.1,256981,http://www.jpmorganchase.com
17,18,General Motors,137237,6732,228037,29694.7,164000,http://www.gm.com
18,19,Walgreens Boots Alliance,136866,3982,67598,40528.2,287000,http://www.walgreensbootsalliance.com
19,20,Verizon Communications,131868,19265,291727,222220,135000,http://www.verizon.com
20,21,Microsoft,125843,39240,286556,1199549.7,144000,http://www.microsoft.com
21,22,Marathon Petroleum,124813,2637,98556,15353,60910,http://www.marathonpetroleum.com
22,23,Kroger,122286,1659,45256,24113.7,435000,http://www.thekrogerco.com
23,24,Fannie Mae,120304,14160,3503319,1841.4,7500,http://www.fanniemae.com
24,25,Bank of America,113589,27430,2434079,185226.9,208131,http://www.ball.com
25,26,Home Depot,110225,11242,51236,200665,415700,http://www.homedepot.com
26,27,Phillips 66,109559,3076,58720,23490,14500,http://www.phillips66.com
27,28,Comcast,108942,13057,263414,156533.3,190000,http://www.comcastcorporation.com
28,29,Anthem,104213,4807,77453,57245.2,70600,http://www.antheminc.com
29,30,Wells Fargo,103915,19549,1927555,117365.7,259800,http://www.wellsfargo.com
30,31,Citigroup,103449,19401,1951158,88376.5,200000,http://www.citigroup.com
31,32,Valero Energy,102729,2422,53864,18531.6,10222,http://www.valero.com
32,33,General Electric,95214,-4979,266048,69406.1,205000,http://www.ge.com
33,34,Dell Technologies,92154,4616,118861,29246.2,165000,http://www.delekus.com
34,35,Johnson & Johnson,82059,15119,157728,345704.9,132200,http://www.jnj.com
35,36,State Farm Insurance,79395.3,5592.7,294823.2,-,57672,http://www.starwoodhotels.com
36,37,Target,78112,3281,42779,46574.4,368000,http://www.target.com
37,38,IBM,77147,9431,152186,98551.1,383800,http://www.ibm.com
38,39,Raytheon Technologies,77046,5537,139716,81705.3,243200,http://www.raytheon.com
39,40,Boeing,76559,-636,133625,84148.6,161100,http://www.boeing.com
40,41,Freddie Mac,75125,7214,2203623,908.7,6892,http://www.freddiemac.com
41,42,Centene,74639,1321,40994,34862.4,56600,http://www.centene.com
42,43,United Parcel Service,74094,4440,57857,80196.1,377640,http://www.unfi.com
